site_id,date,site_orders,site_views,site_units,site_revenue,impressions,clicks,channel_orders,cost,channel_revenue,channel_aov,cr,site_aov,cos
19,3/15/2017,7,3109,18,5879.40,65926,819,1,211.63,189.05,189.0500031,0.0012,839.9143,1.1194
21,2/23/2017,8,794,17,1830.23,18404,244,5,29.3,141.65,28.3300005,0.0205,228.7787,0.2068
36,3/15/2017,20,3907,30,4323.75,3614,66,6,53.11,725.00,120.8333333,0.0909,216.1875,0.0733
50,3/12/2017,11,906,11,4907.48,31408,313,5,148.4,2635.00,527,0.0160,446.1348,0.0563
52,2/27/2017,31,7472,60,18183.00,40696,547,6,322.9,3989.96,664.9933306,0.0110,586.5484,0.0809
51,3/8/2017,60,822,161,4969.45,4284,62,1,93.86,34.99,34.99000168,0.0161,82.8242,2.6825
14,3/22/2017,0,22719,0,0.00,34644,353,10,200.07,368.53,36.85300026,0.0283,,0.5429
46,3/12/2017,139,10588,2623,27870.55,96535,1248,18,480.17,2313.58,128.5322217,0.0144,200.5076,0.2075
2,3/2/2017,40,1313,263,10480.64,30546,244,5,107.91,1037.80,207.5599998,0.0205,262.0160,0.1040
49,3/17/2017,34,1858,53,2537.95,36140,699,18,106.13,591.34,32.85222223,0.0258,74.6456,0.1795
50,3/18/2017,2,644,3,4444.17,15437,130,1,53.1,1795.00,1795,0.0077,2222.0834,0.0296
31,3/16/2017,108,12012,863,11194.07,42521,769,9,244.06,852.65,94.73888736,0.0117,103.6488,0.2862
44,3/20/2017,69,19415,219,5959.01,70188,733,9,265.8,388.55,43.17222256,0.0123,86.3625,0.6841
4,3/8/2017,1502,234514,10194,124897.89,170391,2310,48,1069.8,2174.61,45.30437525,0.0208,83.1544,0.4920
16,2/25/2017,151,5964,316,12641.76,6164,92,4,25.51,262.35,65.58750057,0.0435,83.7203,0.0972
53,3/22/2017,195,17213,279,12186.04,95630,1125,16,369.82,880.75,55.04687512,0.0142,62.4925,0.4199
37,2/23/2017,402,19484,1047,45517.01,86586,989,20,715.8,1293.94,64.69699984,0.0202,113.2264,0.5532
8,2/28/2017,503,10100,970,33575.04,54522,631,35,109.42,1212.56,34.64457152,0.0555,66.7496,0.0902
22,3/12/2017,10,4396,12,17008.00,21469,158,1,136.91,719.00,719,0.0063,1700.8000,0.1904
8,3/22/2017,1008,19146,1611,50913.39,71916,1735,52,276.36,3158.41,60.73865337,0.0300,50.5093,0.0875
41,2/25/2017,5,619,8,2233.78,20196,194,0,162.16,0.00,,0.0000,446.7560,
54,2/23/2017,3,388,6,319.94,6831,46,1,30.25,19.99,19.98999977,0.0217,106.6467,1.5133
44,3/11/2017,49,16688,162,3975.23,43610,493,7,115.66,299.69,42.81285667,0.0142,81.1271,0.3859
15,3/9/2017,67,3870,192,13147.38,63338,680,18,211.45,4691.64,260.6466675,0.0265,196.2296,0.0451
20,2/25/2017,12,1172,20,1875.02,29397,403,14,166.98,1615.51,115.3935705,0.0347,156.2517,0.1034
25,2/25/2017,190,4022,433,5540.41,0,0,0,0,0.00,,,29.1601,
25,2/26/2017,259,4703,571,7895.97,0,0,0,0,0.00,,,30.4864,
25,3/11/2017,205,4272,481,6995.01,8176,61,5,116.55,149.92,29.98399963,0.0820,34.1220,0.7774
45,3/6/2017,3,500,3,1818.98,57474,264,1,95.97,349.99,349.9899902,0.0038,606.3267,0.2742
10,3/4/2017,32,3466,133,5266.30,46221,569,8,417.4,930.84,116.3549995,0.0141,164.5719,0.4484
3,3/14/2017,127,2476,1128,6816.96,95432,1391,68,205.52,3785.56,55.67000052,0.0489,53.6769,0.0543
45,2/26/2017,1,393,1,66.00,61633,308,1,118.75,66.00,66,0.0032,66.0000,1.7992
